Record Type,Change Time Stamp,Serial Change Number,NHS Number,Superseded by NHS number,Primary Care Provider,Primary Care Provider Business Effective From Date,Current Posting,Current Posting Business Effective From Date,Previous Posting,Previous Posting Business Effective To Date,Name Prefix,Given Name,Other Given Name(s),Family Name,Previous Family Name,Date of Birth,Gender,Address line 1,Address line 2,Address line 3,Address line 4,Address line 5,Postcode,PAF key,Usual Address Business Effective From Date,Reason for Removal,Reason for Removal Business Effective From Date,Date of Death,Death Status,Telephone Number (Home),Telephone Number (Home) Business Effective From Date,Telephone Number (Mobile),Telephone Number (Mobile) Business Effective From Date,E-mail address (Home),E-mail address (Home) Business Effective From Date,Preferred Language,Interpreter required,Invalid Flag,Record Identifier,Change Reason Code
Amended,20240524000000,77,3779625768,,NHSH23,20120625,GH7,20130303,AB1,20230411,Mr,Emili,Linea,Bruckenthal,,19600221,0,4381 Anthes Court,March,,Exeter,United Kingdom,E17 9ZQ,L2M4N9J7,20110225,,,,,01617777777,20221021,07799999999,20240501,lfetherstone24@hostgator.com,20240501,en,0,false,77,CR1
New,20240524000000,78,9142661366,,NHS19C,20220805,MN2,20210725,KL4,20230411,Mrs,Durant,Keene,Kleiser,Batchellor,20050824,1,2 Kensington Hill,Abergele,,Birkenhead,United Kingdom,SG5 4NB,H6N2J7F5,20040728,,,,,01617777777,20210731,07777777777,20240501,kbatchellor25@phpbb.com,20240501,en,0,false,78,
New,20240524000000,79,0235033839,,NHSH23,20050212,TU8,20190129,CD3,20230411,Mr,Pavlov,Tadd,Mainz,,19920407,1,27597 Miller Junction,Oakham,,Brighton,United Kingdom,YO32 4ST,J7L2M4N9,20000511,,,,,01617777777,20231116,07777777777,20240501,tcornock26@pbs.org,20240501,id,1,false,79,
New,20240524000000,80,0690053576,,NHS36B,20121116,WX7,20160307,GH2,20230411,Dr,Tobe,Deeanne,Luquet,,19731221,2,6789 Starling Avenue,Bradninch,,Cardiff,United Kingdom,CA5 7LB,X7Z4M8L2,20210226,,,,,01617777777,20220517,07888888888,20240501,dspry27@dyndns.org,20240501,en,0,false,80,
Amended,20240524000000,81,8816145544,4057305017,NHSJ23,20040519,GH7,20000703,YZ8,20230411,Honorable,Vilma,,Pavlishchev,,19630827,2,92 Bonner Crossing,Oswaldtwistle,,Sutton Coldfield,United Kingdom,NR18 0JY,J7L2M4N9,20030731,,,,,01618888888,20201217,07799999999,20240501,seronie28@freewebs.com,20240501,en,0,false,81,CR1
Amended,20240524000000,82,6117818572,,NHS12A,20111119,TU8,20190610,MN5,20230411,Mrs,Christan,Chevalier,Origin,,19980530,1,530 Karstens Lane,Yarm,,Oxford,United Kingdom,S66 7DY,J7L2M4N9,20031229,,,,,01618888888,20220406,07888888888,20240501,cgingold29@stumbleupon.com,20240501,zh,1,false,82,CR1
New,20240524000000,83,0084147687,,NHS36B,20221005,TU8,20041101,OP3,20230411,Rev,Uri,,Innes,,19670613,1,25774 John Wall Road,Radstock,,Southampton,United Kingdom,HR8 1LZ,B1R7D8Y6,20210415,,,20020217,1,01619999999,20240412,07799999999,20240501,kapdell2a@samsung.com,20240501,lv,1,false,83,
Amended,20240524000000,84,7872519984,,NHS37C,20061026,AB9,20190316,KL4,20230411,Ms,Clem,Allison,Lesser,,19471223,2,3 Homewood Drive,Melton Mowbray,,Sheffield,United Kingdom,SG2 9RT,W9G2K6P3,20210503,,,,,01619999999,20210321,07888888888,20240501,afilan2b@eepurl.com,20240501,en,0,false,84,CR1
New,20240524000000,85,1071527045,,NHS32E,20220627,EF1,20121231,EF1,20230411,Honorable,Hale,,Yole,,19530817,2,9811 Claremont Crossing,Ilkley,,Peterborough,United Kingdom,SY9 5RS,W9G2K6P3,20150621,,,,,01618888888,20240204,07777777777,20240501,tspelling2c@friendfeed.com,20240501,uz,1,false,85,
New,20240524000000,86,2748383281,,NHS16A,20240122,UV6,20230305,QR4,20230411,Mrs,Hervey,Mack,Ballsdon,,19530520,1,4554 Tennyson Crossing,Ambleside,,Bolton,United Kingdom,WR14 4QZ,L2M4N9J7,20050928,,,,,01618888888,20230522,07888888888,20240501,mclaricoates2d@who.int,20240501,en,0,false,86,
Amended,20240524000000,87,1356747779,,NHS16A,20031029,GH7,20010527,UV6,20230411,Mr,Dorotea,Nevile,Halburton,,19830913,9,21858 Sycamore Alley,Weybridge,,Southampton,United Kingdom,WA4 1JH,B1R7D8Y6,20160224,,,,,01617777777,20221223,07888888888,20240501,nickovicz2e@clickbank.net,20240501,en,0,false,87,CR1
Amended,20240524000000,88,2547313073,,NHS16B,20121016,KL4,20161002,AB9,20230411,Dr,Arney,,Lightewood,,19791021,0,80 Crescent Oaks Hill,Pembroke,,Poole,United Kingdom,TR4 8LA,Z3S4Q5X9,20040731,,,,,01619999999,20230930,07799999999,20240501,uruscoe2f@vk.com,20240501,en,0,false,88,CR1
Amended,20240524000000,89,5013605547,,NHSJ23,20230509,XY2,20220214,XY2,20230411,Ms,Thoma,Cathrin,Blencoe,,19551012,9,1402 Clyde Gallagher Pass,Dorking,,Solihull,United Kingdom,HR1 4BH,Y6A3B8K9,20230521,,,,,01618888888,20240319,07799999999,20240501,cmalan2g@ameblo.jp,20240501,tr,1,false,89,CR1
New,20240524000000,90,6786082955,,NHS19C,20170507,XY2,20050220,AB1,20230411,Honorable,Joyce,Andria,Janowski,,19530419,9,9746 Aberg Street,Harrogate,,Glasgow,United Kingdom,NR34 0NX,F5H6N2J7,20180311,,,,,01619999999,20221224,07777777777,20240501,acordeau2h@tripadvisor.com,20240501,th,1,false,90,
Amended,20240524000000,91,6150941329,,NHS36A,20190723,QR4,20221123,AB9,20230411,Mrs,Courtney,,Bedow,,19581215,0,2 Harper Place,Pershore,,Ipswich,United Kingdom,TR12 6PT,K9H6G3F5,20111019,,,,,01619999999,20240130,07888888888,20240501,sferreiro2i@huffingtonpost.com,20240501,uz,1,false,91,CR1
New,20240524000000,92,3103921373,,NHS20B,20160224,CD3,20071124,EF1,20230411,Mr,Hercule,Patrice,Gronauer,,19950122,0,0379 Trailsway Trail,Godalming,,Birkenhead,United Kingdom,GU7 2BS,L2E8F7T2,20140103,,,,,01617777777,20230424,07799999999,20240501,pgladdis2j@quantcast.com,20240501,en,0,false,92,
Amended,20240524000000,93,6780293571,,NHS37C,20180209,GH7,20021106,RS6,20230411,Mrs,Theo,,Iacovini,,19460704,2,113 Loftsgordon Park,East Grinstead,,Liverpool,United Kingdom,WA5 3YJ,T4D9V1R8,20201016,,,,,01617777777,20230605,07799999999,20240501,lshearston2k@flavors.me,20240501,es,1,false,93,CR1
Amended,20240524000000,94,3823864130,,NHS20B,20020729,EF5,20170205,YZ8,20230411,Rev,Prudi,Dov,Huet,Lumbley,19970609,0,1645 West Terrace,Keynsham,,Cambridge,United Kingdom,PO12 3TR,P5R9W2Q1,20220518,,,,,01617777777,20211225,07777777777,20240501,dlumbley2l@yahoo.com,20240501,da,1,false,94,CR1
New,20240524000000,95,9864455273,,NHS23J,20011013,TU8,20000609,PQ4,20230411,Mr,Joyann,Olly,Benian,,19880421,1,57 Crowley Junction,Ilkley,,York,United Kingdom,BN42 4RP,T4D9V1R8,20090612,,,,,01619999999,20230324,07799999999,20240501,opinar2m@gizmodo.com,20240501,en,0,false,95,
New,20240524000000,96,4583038488,,NHS37C,20190313,WX7,20150713,EF1,20230411,Mr,Donella,Yehudi,Piatkow,Trevenu,19780504,1,4 Elka Park,Peebles,,Worcester,United Kingdom,HR1 2DA,H6N2J7F5,20061024,,,,,01619999999,20231215,07799999999,20240501,ytrevenu2n@friendfeed.com,20240501,en,0,false,96,
Removed,20240524000000,97,5663958967,,NHSH23,20130413,MN2,20151211,KL1,20230411,Mrs,Rudiger,,Beckhouse,Matijevic,19441215,9,7 Thackeray Way,Bognor Regis,,Nuneaton,United Kingdom,HR1 3QF,Y6A3B8K9,20020428,EMB,20230704,20050419,1,01617777777,20210125,07777777777,20240501,gmatijevic2o@loc.gov,20240501,en,0,true,97,
New,20240524000000,98,1293300853,,NHS16A,20040106,VW0,20220312,OP3,20230411,Mr,Krysta,Piper,Pomphrett,,20041007,2,1 Longview Court,Ormskirk,,Swindon,United Kingdom,EH48 2DJ,P5R9W2Q1,20140626,,,20060104,2,01619999999,20200723,07888888888,20240501,pcattermull2p@1688.com,20240501,hu,1,false,98,
New,20240524000000,99,1315575744,,NHS23J,20010913,MN2,20020606,YZ8,20230411,Dr,Rycca,,Stormes,Roebuck,19770806,9,5934 Kropf Alley,Malvern,,Birkenhead,United Kingdom,HR6 8AA,P5R9W2Q1,20231216,,,,,01619999999,20200728,07777777777,20240501,broebuck2q@unesco.org,20240501,lt,1,false,99,
New,20240524000000,100,9388345568,,NHS19C,20050110,MN5,20191023,AB1,20230411,Dr,Chaim,Davida,Cahani,,20000210,1,86 Dayton Drive,Penzance,,Darlington,United Kingdom,TR1
